1-Where?,2-Years experience?,3-Org type?,4-Industry?,5-# employees?,6-Title?,7-Seniority level?,8-Design categories?,9-Time at co?,9.1-Happiness?,10-How hired?,11-Portfolio type?,12-Job stability?,13-Visible career path?,14-New skills?,15-Impact?
number,number,Freelance / Self-employed (free agent),Advertising / marketing,number,Art Director,Junior,Book design,number,:),Self-employed,Print,number,number,number,number
,,Collective (collaborative group of independents),Architecture,,"Creative Director, agency",Mid-level,Publication design,,:|,Friends,PDF,,,,
,,Partnership (shared ownership),Brand Strategy,,"Creative Director, in-house",Senior,Type/font design,,:(,Past coworker,Website,,,,
,,"Studio (employee at small organization, 3â€“10)",Content Strategy,,"Design Director, agency",Leadership,Graphic design,,,Job listing,WIP,,,,
,,"Agency (employee at large organization, 11+)","Design, digital",,"Design Director, in-house",,Illustration,,,Recruitor,Other,,,,
,,In-house (employee at a brand),"Design, print",,"Developer, mobile app",,Photography,,,Word-of-mouth,No,,,,
,,Unemployed,"Design, digital and print",,"Developer, front end",,Multimedia,,,Other,,,,,
,,,Technology,,"Developer, back end",,Digital,,,,,,,,
,,,PR,,Chief Design Officer,,Development,,,,,,,,
,,,Product Management,,Design Manager,,Motion design,,,,,,,,
,,,Publishing,,"Designer, digital",,User experience,,,,,,,,
,,,Non-profit,,"Designer, print",,Information architecture,,,,,,,,
,,,Other,,"Designer, digital and print",,"Apps, desktop",,,,,,,,
,,,,,Engineer,,"Apps, mobile",,,,,,,,
,,,,,Executive Creative Director,,"Apps, tablet",,,,,,,,
,,,,,Executive Producer,,"Apps, web",,,,,,,,
,,,,,"Freelancer, independent",,User interface,,,,,,,,
,,,,,"Freelancer, staffing agency",,Service design,,,,,,,,
,,,,,Director of Production,,Environmental graphics,,,,,,,,
,,,,,Information Architect,,Industrial design,,,,,,,,
,,,,,"Junior Designer, digital",,Corporate identity,,,,,,,,
,,,,,"Junior Designer, print",,Annual reports and corporate collateral,,,,,,,,
,,,,,"Junior Designer, digital and print",,Communications strategy,,,,,,,,
,,,,,Marketing Director,,Packaging,,,,,,,,
,,,,,Motion Designer/Animator,,Advertising/marketing,,,,,,,,
,,,,,Motion/Video Editor,,Direct mail,,,,,,,,
,,,,,New Business Manager,,Presentations,,,,,,,,
,,,,,Operations Director,,Copywriting/technical writing,,,,,,,,
,,,,,"Owner, Partner, or Principal",,Exhibitions/events,,,,,,,,
,,,,,"Producer, digital",,Broadcast/video,,,,,,,,
,,,,,"Producer, print",,Pro bono,,,,,,,,
,,,,,"Producer, digital and print",,Other,,,,,,,,
,,,,,Production Manager,,Not currently working in design,,,,,,,,
,,,,,"Project Manager, print",,,,,,,,,,
,,,,,"Project Manager, digital",,,,,,,,,,
,,,,,"Project Manager, digital and print",,,,,,,,,,
,,,,,Researcher,,,,,,,,,,
,,,,,Self-employed (no employees),,,,,,,,,,
,,,,,"Senior Designer, digital",,,,,,,,,,
,,,,,"Senior Designer, print",,,,,,,,,,
,,,,,"Senior Designer, digital and print",,,,,,,,,,
,,,,,Social Media Manager,,,,,,,,,,
,,,,,"Strategist, design",,,,,,,,,,
,,,,,"Strategist, content",,,,,,,,,,
,,,,,Strategy Director,,,,,,,,,,
,,,,,Type Designer,,,,,,,,,,
,,,,,Usability Analyst,,,,,,,,,,
,,,,,User Experience Designer,,,,,,,,,,
,,,,,Writer / Copywriter,,,,,,,,,,
,,,,,Other,,,,,,,,,,