1-location,2-years-professional,3-organization-type,4-organization-industry,5-organization-size,6-organization-position,7-seniority,8-design-categories,9-years-at-organization-composite,9.1-years-at-organization,9.2-years-at-organization-feedback,10-how-hired,11-have-portfolio,12-job-stability-concern,13-have-career-path,14-does-your-organization-provide-opportunities-devel,15-organization-work-impact,16-organization-value,17-job-searching,18-salary-composite,18.1-salary-annual,18.2-salary-hourly,19-extra-sources-income,20-benefits,21-compensation-satisfaction,22-team-member-count,23-num-report-you,24-hire-freelancers,25-skills-to-develop,26-daily-responsibilities,27-percent-enjoyable,28-life-work-balance,29-weekly-hours-composite,29.1-weekly-hours,29.2-weekly-hours-feedback,30-level-independence,31-rushed-often,32-software-usage,33-workspace-type,34-music-choice,35-highest-level-education,36-how-received-education,37-learning-preference,38-commute-composite,38.1-commute-time,38.2-commute-feedback,39-age,40-gender,41-ethnicity,42-languages-spoken,43-languages-at-work,44-sexual-orientation,45-have-children,46-have-pets,47-num-coffee-daily,48-design-communities,49-design-conferences,50-social-media,51-best-thing-you-year,52-best-thing-else-year,53-design-joke,54-future-three-words
,46,"Agency (employee at large organization, 11+)",Product Management,187,"Junior Designer, digital and print",,1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0,,44,2,Word-of-mouth,0;1;0;0;0;0,5,7,5,61,3,0,,277,541,0;1;0;0;0;1,0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,53,706,0,0,1;0;1;0;0;0,0;1;1;1;1;1;1;0;0;0;1;,30,4,,80,1,7,Never,0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0,Studio,,Master’s degree,Self-taught,"Community sharing (TED, Twitter, Instagram, etc)",,0,2,68,Female,0;0;0;0;0;0;1;0,,,Homosexual,1,0;0;0;1;0;Hello world;1,Tea,1;0;0;1;0;1;1;1;1;0;1;0;0;0;1,0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;1;1;1;0;1;0;0,geasgaes;;,geas;;,,
,13,"In-house (at NGO, non-profit, or government)",Content Strategy,1000,"Design Director, agency",,0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0,,2,1,Friends,0;0;0;0;0;1,5,3,5,19,6,0,,191,398,0;0;1;1;;1,0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,50,56,1,0,1;1;1;0;1;0,1;1;1;1;1;0;1;0;0;1;1;0,75,6,,40,1,2,Sometimes,0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0,Office,,Bachelor’s degree,Other;work,On the job,,1,1,35,Female,0;0;0;0;0;0;0;1,,,Other;None,1,0;0;1;0;1;0;0,1 – 2,1;0;0;0;1;1;0;0;0;0;0;0;;0;0,0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;1;0;0;1;0;0,;;,fsfd;;,,
New York;NY;US,52,Freelance / Self-employed (free agent),"Design, digital and print",2,"Creative Director, agency",,0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0,,6,2,Self-employed,0;0;1;0;0;0,5,2,5,50,10,0,,100,0,0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,100,1,1,1,1;1;1;0;0;0,1;1;1;1;1;1;1;1;1;1;0;0,50,6,,60,0,5,Often,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Studio,,Some college (no degree),Attended university,Self-taught,,15,2,0,Male,0;1;0;0;0;0;0;0,,,Heterosexual,0,1;0;0;0;0;0;0,1 – 2,1;1;0;0;0;0;0;1;1;1;0;0;0;0;1,0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0,n/a;;,n/a;;,,
;;US,0,Freelance / Self-employed (free agent),Architecture,194,Design Manager,,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,,0,0,Job listing,0;0;0;1;0;0,1,1,2,1,1,0,,17,28,0;0;0;1;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1,80,89,0,0;0;1;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0,17,2,,13,0,2,Rarely,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Home,Test,Associate’s degree,Mentored,"Community sharing (TED, Twitter, Instagram, etc)",,0,1,0,Female,0;0;0;1;0;0;0;0,1,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Other;,0,0;0;0;1;0;0;0,5 – 10,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0,Re;;,,,
New York;NY;US,30,"In-house (at NGO, non-profit, or government)","Design, digital",24,"Designer, digital",Leadership,0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;web design;0,,1,0,Past coworker,0;0;1;0;0;0,0,10,5,10,5,0,,103,75,0;0;0;0;selling crack;1,1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0,10,0,1,1,0;1;0;0;1;0,1;1;1;1;1;1;0;1;1;0;0;0,25,10,,28,0,10,Sometimes,0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;xcel,Office,"Cymbals Eat Guitars, Yarn, Bombino, Peter Wolf",Master’s degree,Attended university,Self-taught,,70,1,57,Male,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,1,0;0;0;0;0;0;1,3 – 5,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,1;0;1;0;1;0;1;0;0;0,Not sure;;,Sturgil Simpson's record;;,,not;really;sure
New York;NY;US,20,Collective (collaborative group of independents),"Design, digital",26,Strategy Director,Leadership,0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,,1,1,Other;I reached out,0;0;1;0;0;0,3,5,3,8,5,0,,103,0,0;1;0;0;0;0,1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0,8,3,2,1,0;1;1;0;0;0,1;1;1;0;1;1;0;0;1;0;0;0,10,4,,55,2,0,Always,1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0,Office,anything Bach,Master’s degree,Self-taught,Workshops,,45,1,47,Female,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,1,1;0;0;0;1;0;0,1 – 2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,got a job;;,urban interventions;http://www.mas.la/;,"Did you know pro bono means ""for good"" not for free?",much needed;need to feel powerful;need to be part of larger conversations more overtly
New York;NY;US,12,"In-house (at NGO, non-profit, or government)","Design, digital and print",18,Art Director,Senior,1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,,3,0,Friends,0;1;0;0;0;0,7,4,5,8,9,0,,237,89,1;0;0;0;0;0,0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5,0,2,1,1;1;1;1;1;Why this selection of skill sets?,1;1;1;1;1;1;1;1;1;1;1;,15,5,,42,1,4,Always,0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;premiere,Other;open office,podcast,Master’s degree,Self-taught,On the job,,45,2,35,Male,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,1;0;0;0;0;0;0,1 – 2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;0;0;0;0;0;0,PFFDFFDJFDISJA SDIJSF DIFJSD FISDJF OIJ SIFJD IDFJD IFIDFJ I JDIFJD FIDJF DIFJD FIDJ DIFJ DFIJ ;WWW.FFIJDFFF.ORG/ROFDF/ A.H;M;/assets/file_uploads/file_upload_file/file/2016/11/16/Screen_Shot_2016-11-07_at_9.46.30_AM.png,HOAIDFJ DIFJD FODIJ OI;WWW.FJFDIFJD.ORGH//DFD;,NO.,OUIJA BOARD ARE REAL;THERE PREDICTIONS ARE FAKE;THEY BRING PEOPLE TOGETHER
Palo Alto;CA;US,99,Unemployed,Other;Testing cool census tests,1000,Other,Leadership,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;A;1,,50,1,Word-of-mouth,0;0;0;0;0;1,10,0,8,10,10,0,,500,500,1;1;1;1;Being awesome;1,1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10,1000,997,0,1;1;1;1;1;0,0;0;0;0;0;1;1;0;0;1;1;0,100,10,,80,0,10,Never,0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0,Coffee shop,My co-workers despairing about the election.,Doctorate,Mentored,Self-taught,,120,2,100,Prefer not to answer,0;0;0;0;1;0;0;0,10,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Prefer not to answer,0,0;0;0;0;1;0;0,1 – 2,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;1;0;0;0,An essay;;,A webpage;;,,
New York;NY;US,2,"In-house (at NGO, non-profit, or government)",Non-profit,19,Other,Mid-level,0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Professional development;0,,1,0,Job listing,0;0;1;0;0;0,5,6,2,8,8,0,,60,0,0;0;0;0;0;1,1;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0,3,2,0,0,0;1;1;1;0;0,0;1;1;1;1;1;0;1;1;1;0;0,4,1,,60,0,1,Often,1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0,Office,A playlist by boyfriend made,Master’s degree,Attended university,Workshops,,40,1,31,Female,0;1;0;0;0;0;0;0,3,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Afrikaans,Heterosexual,0,0;0;0;0;1;0;0,Tea,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1,,,,young;mobile;empathic
New York;NY;US,0,"Studio (employee at small organization, 3–10)",Technology,24,Other,Senior,0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,,9,0,Job listing,0;0;0;0;0;1,0,5,6,10,8,0,,249,265,0;0;0;0;0;1,1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,6,2,0,0,0;0;0;1;0;0,0;1;0;1;1;1;0;1;1;1;0;0,11,10,,40,0,8,Often,1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,Office,,Bachelor’s degree,None,"Online classes (Skillshare, Lynda.com, MOOCs, etc)",,30,0,40,Female,0;1;0;0;0;0;0;0,1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,1,1;0;0;0;0;0;0,1 – 2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;0;0;0;0;0;0,,,,
New York;NY;US,4,"Agency (employee at large organization, 11+)",Non-profit,30,"Strategist, content",Mid-level,0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0,,2,0,Past coworker,0;0;1;0;0;0,2,5,9,9,5,1,,69,0,0;0;0;0;0;1,1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0,5,2,0,1,1;1;1;1;0;0,0;1;1;1;1;1;0;1;1;1;1;0,10,5,,45,0,5,Often,1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0,Office,"A Tribe Called Quest's new album...which, incidentally, is a revelation",Bachelor’s degree,Self-taught,"Online classes (Skillshare, Lynda.com, MOOCs, etc)",,30,1,27,Female,0;1;0;0;0;0;0;0,3,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;0;0;0;1;0;0,1 – 2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;1;1;0;1;0;0;0,twice-baked potatoes with wild mushroom ragout (+ goat cheese);;,,,change;responsibility;impact
New York;NY;US,0,"In-house (at NGO, non-profit, or government)",Non-profit,22,Social Media Manager,Mid-level,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,,1,1,Job listing,0;0;1;0;0;0,5,0,0,3,3,0,,80,0,1;0;0;0;0;0,1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0,5,2,0,1,0;1;1;0;1;0,1;0;1;0;0;1;0;0;0;0;0;0,10,2,,43,1,0,Always,1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0,Office,classical music,Master’s degree,Other;don't have design education,Workshops,,35,1,43,Female,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;0;0;0;0;0;1,1 – 2,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,1;0;1;1;1;0;1;1;LinkedIn;0,,,,
New York;NY;US,0,"In-house (at NGO, non-profit, or government)",Non-profit,30,Other,Mid-level,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,,0,0,Job listing,0;0;0;0;0;1,10,8,10,8,10,0,,60,0,0;0;0;0;0;1,1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0,8,1,0,1,1;1;1;0;0;0,0;1;1;1;1;1;1;1;1;1;1;0,60,7,,40,0,8,Sometimes,1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0,Office,The Olms-Someone Else's Girl,Bachelor’s degree,None,"Community sharing (TED, Twitter, Instagram, etc)",,40,0,27,Male,0;1;0;0;0;0;0;0,1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;0;0;0;0;0;1,0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;1;1;0;1;0;0;0,Social impact;;,Social impact;http://austin.aiga.org/event-internal/giving-voice-exhibition-silent-auction/;,How many creatives does it take to screw in a light bulb? An endless amount to design the process and one to actually turn the damn bulb.,Social Impact;Using your ability to create to solve problems;Aplying design ethics to everyday problems
Philadelphia;PA;US,15,Collective (collaborative group of independents),Brand Strategy,2,Executive Creative Director,Leadership,1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0,,5,0,Self-employed,1;1;1;0;0;0,1,2,5,10,10,0,,90,85,1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3,4,0,1,1;1;1;0;0;0,1;1;1;1;1;1;1;1;1;1;1;0,20,0,,50,1,3,Often,1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0,Studio,"Journey, ""Don't Stop Believing""",Bachelor’s degree,Attended university,On the job,,40,1,40,Male,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;0;0;0;0;0;1,0,1;0;0;0;0;0;0;0;0;1;0;1;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;1;0;0;0;0;0,Identity system for fitness chain;www.phillygainz.com;,,"A user interface is like a joke, if you have to explain it, it's not that good. ",connecting;the;dots
New York;NY;US,0,"In-house (at NGO, non-profit, or government)",Non-profit,25,Other,Senior,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,,12,0,Job listing,0;0;0;0;0;1,6,1,5,8,7,0,,82,0,0;0;0;0;0;1,1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0,4,0,0,0,1;1;1;0;0;0,0;1;1;0;1;1;0;1;1;0;0;0,52,7,,48,1,5,Often,1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,Other;cubicle,Nothing.,Master’s degree,Mentored,On the job,,75,2,41,Female,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;0;0;0;0;0;1,1 – 2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;1;0;0;0;0;0,,,,
New York;NY;US,64,"In-house (at NGO, non-profit, or government)","Design, digital",34,Director of Production,Mid-level,0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;fun;0,,0,1,Job listing,1;1;1;1;0;0,8,3,10,4,5,0,,82,79,1;0;1;1;0;1,1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5,51,576,1,1;1;1;1;1;negotiation,1;1;1;1;1;1;1;0;0;0;0;0,31,7,,51,1,4,Always,0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0,Co-working space,,Bachelor’s degree,Self-taught,On the job,,43,1,78,Female,0;1;0;0;0;0;0;0,3,1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Prefer not to answer,0,0;1;0;0;1;0;0,Tea,1;1;0;0;0;0;0;0;0;1;1;1;0;0;0,1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0,0;0;0;1;1;0;1;0;0;0,AIGA Design Conference;http://designconference.aiga.org/#!/;,AIGA Design Conference;http://designconference.aiga.org/#!/;,Ha ha ha design,big;AIGA;!
New York;NY;US,4,"Agency (employee at large organization, 11+)","Design, digital and print",27,"Design Director, agency",Mid-level,0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,,2,1,Word-of-mouth,0;0;1;0;0;0,4,1,1,4,3,1,,100,100,1;0;0;0;0;0,0;1;1;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0,4,6,4,1,1;0;0;1;1;0,0;0;1;0;0;1;1;0;0;0;0;0,2,4,,45,1,1,Often,1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,Office,Ingrid Michaelson ,Master’s degree,Attended art school,"Online classes (Skillshare, Lynda.com, MOOCs, etc)",,35,0,31,Female,0;1;0;0;0;0;0;0,1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,1,0;0;0;0;0;0;1,1 – 2,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;1;0;0;0;0;0,,,,
New York;NY;US,11,"In-house (at NGO, non-profit, or government)",Other;Media,25,Writer / Copywriter,Senior,1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0,,2,1,Job listing,0;0;1;0;0;0,2,6,5,8,8,0,,99,0,1;0;0;0;0;0,0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,8,4,4,1,1;0;0;1;0;0,1;1;1;1;1;1;0;1;1;1;1;Day drink (Kidding!),50,8,,60,2,8,Often,0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0,Other;Office + work from home,Arlo Guthrie,Master’s degree,Self-taught,"Online classes (Skillshare, Lynda.com, MOOCs, etc)",,120,2,31,Female,0;1;0;0;0;0;0;0,2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Heterosexual,0,0;1;0;0;0;Do pet projects count?;0,3 – 5,1;0;0;0;0;0;0;0;0;0;0;0;Ladies Get Paid;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;0;0;0;0,AIGA Eye on Design's Instagram account;instagram.com/aigaeyeondesign;,Ladybeard magazine;ladybeardmagazine.co.uk;,www.instagram.com/p/BLkJS7hBYwy/?taken-by=screensaviors,diversify;experiment;act